dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,71.168263,0.000000,71.248263,37.126519,-78.097237,-0.000000,0.000000
0.020000,71.895174,0.000000,71.975174,35.564575,-78.097237,0.000000,0.000000
0.020000,72.590846,0.000000,72.670846,34.002630,-78.097237,-0.000000,0.000000
0.020000,73.255279,0.000000,73.335279,32.440685,-78.097237,0.000000,0.000000
0.020000,73.888473,0.000000,73.968473,30.878740,-78.097237,0.000000,0.000000
0.020000,74.490428,0.000000,74.570428,29.316796,-78.097237,-0.000000,0.000000
0.020000,75.061145,0.000000,75.141145,27.754851,-78.097237,0.000000,0.000000
0.020000,75.600623,0.000000,75.680623,26.192906,-78.097237,0.000000,0.000000
0.020000,76.108861,0.000000,76.188861,24.630961,-78.097237,-0.000000,0.000000
0.020000,76.585861,0.000000,76.665861,23.069017,-78.097237,0.000000,0.000000
0.020000,77.031622,0.000000,77.111622,21.507072,-78.097237,0.000000,0.000000
0.020000,77.446144,0.000000,77.526144,19.945127,-78.097237,-0.000000,0.000000
0.020000,77.829427,0.000000,77.909427,18.383182,-78.097237,0.000000,0.000000
0.020000,78.181471,0.000000,78.261471,16.821238,-78.097237,0.000000,0.000000
0.020000,78.502276,0.000000,78.582276,15.259293,-78.097237,-0.000000,0.000000
0.020000,78.791843,0.000000,78.871843,13.697348,-78.097237,-0.000000,0.000000
0.020000,79.050170,0.000000,79.130170,12.135403,-78.097237,0.000000,0.000000
0.020000,79.277259,0.000000,79.357259,10.573459,-78.097237,-0.000000,0.000000
0.020000,79.473109,0.000000,79.553109,9.011514,-78.097237,0.000000,0.000000
0.020000,79.637720,0.000000,79.717720,7.449569,-78.097237,0.000000,0.000000
0.020000,79.771091,0.000000,79.851091,5.887624,-78.097237,-0.000000,0.000000
0.020000,79.873225,0.000000,79.953225,4.325680,-78.097237,0.000000,0.000000
0.020000,79.944119,0.000000,80.024119,2.763735,-78.097237,-0.000000,0.000000
0.020000,79.983774,0.000000,80.063774,1.201790,-78.097237,0.000000,0.000000
0.020000,79.997896,0.000000,80.077896,0.210409,-49.569064,1426.408681,0.000000
0.020000,80.000000,0.000000,80.080000,0.000000,-10.520445,1952.430936,0.000000
0.020000,80.000000,0.000000,80.080000,0.000000,0.000000,526.022255,0.000000
